TimeStamp,TagName,Average,Status,PercentageOfGoodValues
2023-12-15,ARA_FC1_GROSS,1667.0,OK,0.9892253875732422
2023-12-15,ARA_FC1_NET,162785.0,OK,0.989170104265213
2023-12-15,ARA_FC1_MASS,131.0,OK,0.9861515462398529
2023-12-15,ARA_FC1_ENERGY,6522.877,OK,0.9820508658885956
2023-12-15,ARA_FC1_S1_P,7092.62,OK,0.9729609489440918
2023-12-15,ARA_FC1_S2_P,8263.8,OK,0.9114565551280975
2023-12-15,ARA_FC1_S1_T,17.54,OK,0.7374445199966431
2023-12-15,ARA_FC1_S2_T,26.98,OK,0.8741330206394196
2023-12-15,ARA_FC1_GC_C1,86.367,OK,0.9901726543903351
2023-12-15,ARA_FC1_GC_C2,7.228,OK,0.9925212264060974
2023-12-15,ARA_FC1_GC_C3,2.719,OK,0.9917367398738861
2023-12-15,ARA_FC1_GC_IC4,0.576,OK,0.9902856349945068
2023-12-15,ARA_FC1_GC_NC4,0.744,OK,0.989275187253952
2023-12-15,ARA_FC1_GC_IC5,0.186,OK,0.9895817339420319
2023-12-15,ARA_FC1_GC_NC5,0.125,OK,0.9890169501304626
2023-12-15,ARA_FC1_GC_C6,0.1042,OK,0.9892836213111877
2023-12-15,ARA_FC1_GC_N2,0.326,OK,0.9908292591571808
2023-12-15,ARA_FC1_GC_CO2,1.624,OK,0.991506040096283
2023-12-15,ARA_FC1_GC_HV,42.27,OK,0.9873924553394318
2023-12-15,ARA_FC1_DENS_AC,71.29,OK,0.8161084651947021
2023-12-15,ARA_FC1_DENS_SC,0.66,OK,0.9294724464416504
